 count  , length 
1032,2
21766,11
2055,12
1566,13
2922,14
183791,15
10120,16
14,17
13,18
92,19
183,20
102,21
40,23
84,35
105440,36
354,37
850,38
45,39
79,40
66,41
161,42
68,43
41,44
41,45
90,46
91,47
61,48
52,49
5382,50
1265,51
58,52
70,53
84,54
100,55
59,56
34,57
23,58
192,59
138,60
106,61
141,62
38,63
55,64
50,65
69,66
110,67
75,68
409,69
941,70
2462,71
45532,72
1018,73
3134,74
949,75
1439,76
624,77
1335,78
855,79
2265,80
1432,81
1807,82
18534,83
1274,84
2409,85
2215,86
1276,87
1233,88
724,89
1095,90
1706,91
3082,92
3548,93
3437,94
1816,95
10335,96
15234,97
15668,98
24560,99
20284,100
23372,101
20759,102
21913,103
11530,104
8992,105
3949,106
7624,107
4028,108
21464,109
1035,110
212,111
384,112
114,113
2091,114
641,115
3912,116
192,117
742,118
60,119
348,120
130,121
191,122
45,123
358,124
76,125
116,126
114,127
467,128
269,129
156,130
81,131
425,132
157,133
294,134
125,135
351,136
59,137
170,138
50,139
211,140
97,141
158,142
111,143
250,144
187,145
190,146
77,147
157,148
71,149
233,150
233,151
500,152
367,153
658,154
720,155
626,156
784,157
896,158
580,159
1977,160
532,161
661,162
215,163
1090,164
58,165
1819,166
107,167
1259,168
152,169
2450,170
54,171
2766,172
217,173
4014,174
124,175
1041,176
45,177
2029,178
104,179
929,180
100,181
652,182
55,183
948,184
21,185
105,186
190,187
164,188
72,189
253,190
26,191
118,192
137,193
105,194
16,195
152,196
34,197
38,198
97,199
268,200
90,201
182,202
55,203
1172,204
138,205
235,206
38,207
207,208
39,209
57,210
93,211
135,212
66,213
105,214
33,215
181,216
64,217
64,218
36,219
217,220
56,221
143,222
327,223
176,224
83,225
655,226
116,227
405,228
141,229
278,230
199,231
533,232
133,233
409,234
542,235
1111,236
129,237
927,238
55,239
208,240
1171,241
98,242
148,243
1344,244
139,245
1068,246
988,247
1394,248
209,249
456,250
48,251
98,252
1977,253
75,254
189,255
453,256
84,257
180,258
314,259
135,260
328,261
147,262
72,263
94,264
122,265
82,266
31,267
159,268
62,269
70,270
81,271
384,272
44,273
335,274
51,275
313,276
41,277
14306,278
1688,279
312,280
44,281
68,282
24,283
644,284
81,285
199,286
136,287
788,288
62,289
322,290
114,291
685,292
169,293
276,294
115,295
193,296
140,297
564,298
97,299
426,300
1149,301
458,302
141,303
745,304
236,305
230,306
58,307
603,308
103,309
163,310
108,311
1204,312
160,313
252,314
90,315
1122,316
231,317
1178,318
82,319
509,320
129,321
135,322
